skill,capability,owner,primary_hosts,branch_hashes,drift_type,recommendation,notes
openclaw-propose-seal,ROUTING,OPENCLAW,HERMES|KIMI,"{""HERMES"": ""0cfc04904a998b75"", ""KIMI"": ""0a8349e239cbdfe8""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
image-analyzer-vision,MULTIMODAL_PERCEPTION,HERMES,HERMES|AAA,"{""HERMES"": ""e809dfa27b588c68"", ""AAA"": ""577354fae0757107""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
APEX-quantum-eureka,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""42bd2470bbc8f669"", ""AAA"": ""d8c6c02caa2ac12f""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AGI-plan-dag,ROUTING,OPENCLAW,HERMES|AAA,"{""HERMES"": ""492b1b1eddb68684"", ""AAA"": ""92ba466639aa896b""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AUDIT-repo-reality,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""660bd5ecc14bb372"", ""AAA"": ""680b71c65d0b9b5e""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
runpod,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""6ead1e8472532ec3"", ""AAA"": ""d0289b1b0c98f2e6""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-well-boundary-repair,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""2c4a29f54631ee70"", ""AAA"": ""c766ca75703f78ba""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-issue-triage,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""c25234853a6f3b1b"", ""AAA"": ""7913b30e9b57a5e6""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-subagent-lifecycle,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""96953261f4ee6e22"", ""AAA"": ""b5ce923a00deb062""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AAA-tts-engine-catalog,MULTIMODAL_PERCEPTION,HERMES,HERMES|AAA,"{""HERMES"": ""f018df10cf03d47d"", ""AAA"": ""e18543f19887fc5e""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AAA-voice-cloning-qwen-cloud,MULTIMODAL_PERCEPTION,HERMES,HERMES|AAA,"{""HERMES"": ""1d0ecb5f69d4c77b"", ""AAA"": ""f3b93a8894d0eda2""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-seal-a-close,GOVERNANCE,AAA,HERMES|AAA,"{""HERMES"": ""2fde4561628a3da0"", ""AAA"": ""d2252c8612ddb5b3""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-telegram-audit,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""f3c468e38544a7b8"", ""AAA"": ""659862f5dd051970""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
scripts,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""42b77286389c47b6"", ""AAA"": ""5108a4d329e75e0c""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
runtime,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""f646b772f54c86c5"", ""AAA"": ""0d845b3953df5c87""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-mcp-testing,CODING,A2M,HERMES|OPENCODE_CONFIG,"{""HERMES"": ""51101f5b59c4a1b0"", ""OPENCODE_CONFIG"": ""d6754c26fa8859f2""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
fi-mesh-check,ROUTING,OPENCLAW,HERMES|AAA,"{""HERMES"": ""6c7ac530ccdc1732"", ""AAA"": ""d3499aa1d0c2d8e5""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
arifos-external-council,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""d949aaa99a92ecd7"", ""AAA"": ""b7658aa1d1a7922c""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
ASI-drift-watch,RESEARCH,HERMES,HERMES|KIMI,"{""HERMES"": ""0c10ddeb21d2eb93"", ""KIMI"": ""f5aa24dbd8744ddf""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
ASI-agentic-governance,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""6c606c70e52cb10e"", ""AAA"": ""005ba7bd1b972ea0""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AAA-audio-qualia-doctrine,MULTIMODAL_PERCEPTION,HERMES,HERMES|AAA,"{""HERMES"": ""bd477016dd49b03b"", ""AAA"": ""9d090fd9ec11ea43""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
